Class,PhenoGraph
mADT-1.tsv,1
mADT-10.tsv,2
mADT-11.tsv,3
mADT-12.tsv,3
mADT-13.tsv,3
mADT-14.tsv,4
mADT-15.tsv,5
mADT-16.tsv,2
mADT-17.tsv,3
mADT-19.tsv,5
mADT-2.tsv,2
mADT-20.tsv,3
mADT-21.tsv,2
mADT-22.tsv,2
mADT-23.tsv,3
mADT-24.tsv,6
mADT-25.tsv,7
mADT-26.tsv,7
mADT-27.tsv,7
mADT-28.tsv,2
mADT-29.tsv,5
mADT-3.tsv,1
mADT-31.tsv,2
mADT-32.tsv,8
mADT-33.tsv,9
mADT-34.tsv,9
mADT-35.tsv,1
mADT-36.tsv,3
mADT-37.tsv,8
mADT-38.tsv,2
mADT-39.tsv,2
mADT-4.tsv,4
mADT-40.tsv,6
mADT-41.tsv,3
mADT-42.tsv,7
mADT-43.tsv,9
mADT-44.tsv,10
mADT-45.tsv,2
mADT-46.tsv,2
mADT-47.tsv,2
mADT-48.tsv,11
mADT-49.tsv,12
mADT-5.tsv,7
mADT-50.tsv,3
mADT-51.tsv,8
mADT-52.tsv,6
mADT-6.tsv,3
mADT-7.tsv,9
mADT-8.tsv,9
mADT-9.tsv,8
N-1.tsv,13
N-10.tsv,6
N-11.tsv,5
N-12.tsv,5
N-13.tsv,6
N-14.tsv,12
N-15.tsv,13
N-16.tsv,13
N-17.tsv,5
N-18.tsv,12
N-19.tsv,12
N-2.tsv,14
N-20.tsv,6
N-21.tsv,12
N-22.tsv,13
N-23.tsv,4
N-24.tsv,13
N-25.tsv,5
N-26.tsv,13
N-27.tsv,12
N-28.tsv,12
N-29.tsv,14
N-3.tsv,12
N-30.tsv,14
N-31.tsv,12
N-32.tsv,5
N-33.tsv,13
N-34.tsv,13
N-35.tsv,13
N-36.tsv,12
N-37.tsv,14
N-38.tsv,12
N-39.tsv,12
N-4.tsv,14
N-40.tsv,12
N-41.tsv,4
N-42.tsv,15
N-43.tsv,16
N-44.tsv,12
N-45.tsv,16
N-46.tsv,4
N-47.tsv,14
N-48.tsv,12
N-49.tsv,9
N-5.tsv,12
N-50.tsv,12
N-51.tsv,12
N-52.tsv,5
N-53.tsv,12
N-54.tsv,12
N-55.tsv,10
N-56.tsv,17
N-6.tsv,4
N-7.tsv,13
N-8.tsv,13
N-9.tsv,13
